,fullDate,day,dayOfWeek,month,bimonthly,quarter,fourMonths,year,decade
71,2022-06-24,24,Friday,6,3,2,2,2022,2020
72,2022-06-23,23,Thursday,6,3,2,2,2022,2020
73,2022-06-22,22,Wednesday,6,3,2,2,2022,2020
74,2022-06-21,21,Tuesday,6,3,2,2,2022,2020
75,2022-06-20,20,Monday,6,3,2,2,2022,2020
76,2022-06-19,19,Sunday,6,3,2,2,2022,2020
77,2022-06-18,18,Saturday,6,3,2,2,2022,2020
78,2022-06-17,17,Friday,6,3,2,2,2022,2020
79,2022-06-16,16,Thursday,6,3,2,2,2022,2020
80,2022-06-15,15,Wednesday,6,3,2,2,2022,2020
81,2022-06-14,14,Tuesday,6,3,2,2,2022,2020
82,2022-06-13,13,Monday,6,3,2,2,2022,2020
83,2022-06-12,12,Sunday,6,3,2,2,2022,2020
84,2022-06-11,11,Saturday,6,3,2,2,2022,2020
85,2022-06-10,10,Friday,6,3,2,2,2022,2020
86,2022-06-07,7,Tuesday,6,3,2,2,2022,2020
87,2022-06-06,6,Monday,6,3,2,2,2022,2020
88,2022-06-05,5,Sunday,6,3,2,2,2022,2020
89,2022-06-02,2,Thursday,6,3,2,2,2022,2020
90,2022-06-01,1,Wednesday,6,3,2,2,2022,2020
91,2022-05-30,30,Monday,5,3,2,2,2022,2020
92,2022-05-29,29,Sunday,5,3,2,2,2022,2020
93,2022-05-28,28,Saturday,5,3,2,2,2022,2020
94,2022-05-26,26,Thursday,5,3,2,2,2022,2020
95,2022-05-25,25,Wednesday,5,3,2,2,2022,2020
96,2022-05-24,24,Tuesday,5,3,2,2,2022,2020
97,2022-05-23,23,Monday,5,3,2,2,2022,2020
98,2022-05-21,21,Saturday,5,3,2,2,2022,2020
99,2022-05-20,20,Friday,5,3,2,2,2022,2020
100,2022-05-18,18,Wednesday,5,3,2,2,2022,2020
101,2022-05-17,17,Tuesday,5,3,2,2,2022,2020
102,2022-05-16,16,Monday,5,3,2,2,2022,2020
103,2022-05-15,15,Sunday,5,3,2,2,2022,2020
104,2022-05-14,14,Saturday,5,3,2,2,2022,2020
105,2022-05-13,13,Friday,5,3,2,2,2022,2020
106,2022-05-11,11,Wednesday,5,3,2,2,2022,2020
107,2022-05-05,5,Thursday,5,3,2,2,2022,2020
108,2022-05-04,4,Wednesday,5,3,2,2,2022,2020
109,2022-05-03,3,Tuesday,5,3,2,2,2022,2020
110,2022-05-02,2,Monday,5,3,2,2,2022,2020
111,2022-05-01,1,Sunday,5,3,2,2,2022,2020
112,2022-04-30,30,Saturday,4,2,2,1,2022,2020
113,2022-04-28,28,Thursday,4,2,2,1,2022,2020
114,2022-04-27,27,Wednesday,4,2,2,1,2022,2020
115,2022-04-26,26,Tuesday,4,2,2,1,2022,2020
116,2022-04-25,25,Monday,4,2,2,1,2022,2020
117,2022-04-23,23,Saturday,4,2,2,1,2022,2020
118,2022-04-21,21,Thursday,4,2,2,1,2022,2020
119,2022-04-20,20,Wednesday,4,2,2,1,2022,2020
120,2022-04-19,19,Tuesday,4,2,2,1,2022,2020
121,2022-04-18,18,Monday,4,2,2,1,2022,2020
122,2022-04-15,15,Friday,4,2,2,1,2022,2020
123,2022-04-14,14,Thursday,4,2,2,1,2022,2020
124,2022-04-13,13,Wednesday,4,2,2,1,2022,2020
125,2022-04-12,12,Tuesday,4,2,2,1,2022,2020
126,2022-04-11,11,Monday,4,2,2,1,2022,2020
127,2022-04-09,9,Saturday,4,2,2,1,2022,2020
128,2022-04-08,8,Friday,4,2,2,1,2022,2020
129,2022-04-07,7,Thursday,4,2,2,1,2022,2020
130,2022-04-06,6,Wednesday,4,2,2,1,2022,2020
131,2022-04-05,5,Tuesday,4,2,2,1,2022,2020
132,2022-04-04,4,Monday,4,2,2,1,2022,2020
133,2022-04-02,2,Saturday,4,2,2,1,2022,2020
134,2022-04-01,1,Friday,4,2,2,1,2022,2020
135,2022-03-30,30,Wednesday,3,2,1,1,2022,2020
136,2022-03-29,29,Tuesday,3,2,1,1,2022,2020
137,2022-03-28,28,Monday,3,2,1,1,2022,2020
138,2022-03-27,27,Sunday,3,2,1,1,2022,2020
139,2022-03-26,26,Saturday,3,2,1,1,2022,2020
140,2022-03-25,25,Friday,3,2,1,1,2022,2020
141,2022-03-24,24,Thursday,3,2,1,1,2022,2020
142,2022-03-21,21,Monday,3,2,1,1,2022,2020
143,2022-03-20,20,Sunday,3,2,1,1,2022,2020
144,2022-03-19,19,Saturday,3,2,1,1,2022,2020
145,2022-03-17,17,Thursday,3,2,1,1,2022,2020
146,2022-03-16,16,Wednesday,3,2,1,1,2022,2020
147,2022-03-15,15,Tuesday,3,2,1,1,2022,2020
148,2022-03-14,14,Monday,3,2,1,1,2022,2020
149,2022-03-13,13,Sunday,3,2,1,1,2022,2020
150,2022-03-12,12,Saturday,3,2,1,1,2022,2020
151,2022-03-11,11,Friday,3,2,1,1,2022,2020
152,2022-03-10,10,Thursday,3,2,1,1,2022,2020
153,2022-03-09,9,Wednesday,3,2,1,1,2022,2020
154,2022-03-08,8,Tuesday,3,2,1,1,2022,2020
155,2022-03-06,6,Sunday,3,2,1,1,2022,2020
156,2022-03-05,5,Saturday,3,2,1,1,2022,2020
157,2022-03-04,4,Friday,3,2,1,1,2022,2020
158,2022-03-03,3,Thursday,3,2,1,1,2022,2020
159,2022-03-02,2,Wednesday,3,2,1,1,2022,2020
160,2022-03-01,1,Tuesday,3,2,1,1,2022,2020
161,2022-02-26,26,Saturday,2,1,1,1,2022,2020
162,2022-02-25,25,Friday,2,1,1,1,2022,2020
163,2022-02-24,24,Thursday,2,1,1,1,2022,2020
164,2022-02-23,23,Wednesday,2,1,1,1,2022,2020
165,2022-02-22,22,Tuesday,2,1,1,1,2022,2020
166,2022-02-21,21,Monday,2,1,1,1,2022,2020
167,2022-02-18,18,Friday,2,1,1,1,2022,2020
168,2022-02-17,17,Thursday,2,1,1,1,2022,2020
169,2022-02-16,16,Wednesday,2,1,1,1,2022,2020
170,2022-02-15,15,Tuesday,2,1,1,1,2022,2020
171,2022-02-14,14,Monday,2,1,1,1,2022,2020
172,2022-02-13,13,Sunday,2,1,1,1,2022,2020
173,2022-02-12,12,Saturday,2,1,1,1,2022,2020
174,2022-02-11,11,Friday,2,1,1,1,2022,2020
175,2022-02-10,10,Thursday,2,1,1,1,2022,2020
176,2022-02-09,9,Wednesday,2,1,1,1,2022,2020
177,2022-02-07,7,Monday,2,1,1,1,2022,2020
178,2022-02-06,6,Sunday,2,1,1,1,2022,2020
179,2022-02-05,5,Saturday,2,1,1,1,2022,2020
180,2022-02-03,3,Thursday,2,1,1,1,2022,2020
181,2022-02-02,2,Wednesday,2,1,1,1,2022,2020
182,2022-02-01,1,Tuesday,2,1,1,1,2022,2020
183,2022-01-29,29,Saturday,1,1,1,1,2022,2020
184,2022-01-28,28,Friday,1,1,1,1,2022,2020
185,2022-01-27,27,Thursday,1,1,1,1,2022,2020
186,2022-01-26,26,Wednesday,1,1,1,1,2022,2020
187,2022-01-25,25,Tuesday,1,1,1,1,2022,2020
188,2022-01-24,24,Monday,1,1,1,1,2022,2020
189,2022-01-22,22,Saturday,1,1,1,1,2022,2020
190,2022-01-21,21,Friday,1,1,1,1,2022,2020
191,2022-01-20,20,Thursday,1,1,1,1,2022,2020
192,2022-01-19,19,Wednesday,1,1,1,1,2022,2020
193,2022-01-18,18,Tuesday,1,1,1,1,2022,2020
194,2022-01-17,17,Monday,1,1,1,1,2022,2020
195,2022-01-16,16,Sunday,1,1,1,1,2022,2020
196,2022-01-15,15,Saturday,1,1,1,1,2022,2020
197,2022-01-14,14,Friday,1,1,1,1,2022,2020
198,2022-01-13,13,Thursday,1,1,1,1,2022,2020
199,2022-01-12,12,Wednesday,1,1,1,1,2022,2020
200,2022-01-11,11,Tuesday,1,1,1,1,2022,2020
201,2022-01-10,10,Monday,1,1,1,1,2022,2020
202,2022-01-09,9,Sunday,1,1,1,1,2022,2020
203,2022-01-08,8,Saturday,1,1,1,1,2022,2020
204,2022-01-06,6,Thursday,1,1,1,1,2022,2020
205,2022-01-05,5,Wednesday,1,1,1,1,2022,2020
206,2022-01-04,4,Tuesday,1,1,1,1,2022,2020
207,2022-01-03,3,Monday,1,1,1,1,2022,2020
208,2022-01-02,2,Sunday,1,1,1,1,2022,2020
209,2022-01-01,1,Saturday,1,1,1,1,2022,2020
210,2021-12-31,31,Friday,12,6,4,3,2021,2020
211,2021-12-29,29,Wednesday,12,6,4,3,2021,2020
212,2021-12-28,28,Tuesday,12,6,4,3,2021,2020
213,2021-12-27,27,Monday,12,6,4,3,2021,2020
214,2021-12-26,26,Sunday,12,6,4,3,2021,2020
215,2021-12-24,24,Friday,12,6,4,3,2021,2020
216,2021-12-23,23,Thursday,12,6,4,3,2021,2020
217,2021-12-22,22,Wednesday,12,6,4,3,2021,2020
218,2021-12-19,19,Sunday,12,6,4,3,2021,2020
219,2021-12-17,17,Friday,12,6,4,3,2021,2020
220,2021-12-16,16,Thursday,12,6,4,3,2021,2020
221,2021-12-15,15,Wednesday,12,6,4,3,2021,2020
222,2021-12-14,14,Tuesday,12,6,4,3,2021,2020
223,2021-12-13,13,Monday,12,6,4,3,2021,2020
224,2021-12-12,12,Sunday,12,6,4,3,2021,2020
225,2021-12-11,11,Saturday,12,6,4,3,2021,2020
226,2021-12-10,10,Friday,12,6,4,3,2021,2020
227,2021-12-09,9,Thursday,12,6,4,3,2021,2020
228,2021-12-08,8,Wednesday,12,6,4,3,2021,2020
229,2021-12-07,7,Tuesday,12,6,4,3,2021,2020
230,2021-12-06,6,Monday,12,6,4,3,2021,2020
231,2021-12-05,5,Sunday,12,6,4,3,2021,2020
232,2021-12-04,4,Saturday,12,6,4,3,2021,2020
233,2021-12-03,3,Friday,12,6,4,3,2021,2020
234,2021-12-02,2,Thursday,12,6,4,3,2021,2020
235,2021-12-01,1,Wednesday,12,6,4,3,2021,2020
236,2021-11-30,30,Tuesday,11,6,4,3,2021,2020
237,2021-11-29,29,Monday,11,6,4,3,2021,2020
238,2021-11-28,28,Sunday,11,6,4,3,2021,2020
239,2021-11-25,25,Thursday,11,6,4,3,2021,2020
240,2021-11-24,24,Wednesday,11,6,4,3,2021,2020
241,2021-11-23,23,Tuesday,11,6,4,3,2021,2020
242,2021-11-22,22,Monday,11,6,4,3,2021,2020
243,2021-11-21,21,Sunday,11,6,4,3,2021,2020
244,2021-11-20,20,Saturday,11,6,4,3,2021,2020
245,2021-11-19,19,Friday,11,6,4,3,2021,2020
246,2021-11-17,17,Wednesday,11,6,4,3,2021,2020
247,2021-11-16,16,Tuesday,11,6,4,3,2021,2020
248,2021-11-15,15,Monday,11,6,4,3,2021,2020
249,2021-11-14,14,Sunday,11,6,4,3,2021,2020
250,2021-11-13,13,Saturday,11,6,4,3,2021,2020
251,2021-11-12,12,Friday,11,6,4,3,2021,2020
252,2021-11-11,11,Thursday,11,6,4,3,2021,2020
253,2021-11-09,9,Tuesday,11,6,4,3,2021,2020
254,2021-11-08,8,Monday,11,6,4,3,2021,2020
255,2021-11-07,7,Sunday,11,6,4,3,2021,2020
256,2021-11-06,6,Saturday,11,6,4,3,2021,2020
257,2021-11-05,5,Friday,11,6,4,3,2021,2020
258,2021-11-04,4,Thursday,11,6,4,3,2021,2020
259,2021-11-03,3,Wednesday,11,6,4,3,2021,2020
260,2021-11-02,2,Tuesday,11,6,4,3,2021,2020
261,2021-11-01,1,Monday,11,6,4,3,2021,2020
262,2021-10-31,31,Sunday,10,5,4,3,2021,2020
263,2021-10-30,30,Saturday,10,5,4,3,2021,2020
264,2021-10-29,29,Friday,10,5,4,3,2021,2020
265,2021-10-28,28,Thursday,10,5,4,3,2021,2020
266,2021-10-27,27,Wednesday,10,5,4,3,2021,2020
267,2021-10-26,26,Tuesday,10,5,4,3,2021,2020
268,2021-10-25,25,Monday,10,5,4,3,2021,2020
269,2021-10-24,24,Sunday,10,5,4,3,2021,2020
270,2021-10-23,23,Saturday,10,5,4,3,2021,2020
271,2021-10-22,22,Friday,10,5,4,3,2021,2020
272,2021-10-20,20,Wednesday,10,5,4,3,2021,2020
273,2021-10-18,18,Monday,10,5,4,3,2021,2020
274,2021-10-17,17,Sunday,10,5,4,3,2021,2020
275,2021-10-16,16,Saturday,10,5,4,3,2021,2020
276,2021-10-15,15,Friday,10,5,4,3,2021,2020
277,2021-10-14,14,Thursday,10,5,4,3,2021,2020
278,2021-10-13,13,Wednesday,10,5,4,3,2021,2020
279,2021-10-12,12,Tuesday,10,5,4,3,2021,2020
280,2021-10-11,11,Monday,10,5,4,3,2021,2020
281,2021-10-10,10,Sunday,10,5,4,3,2021,2020
282,2021-10-09,9,Saturday,10,5,4,3,2021,2020
283,2021-10-08,8,Friday,10,5,4,3,2021,2020
284,2021-10-07,7,Thursday,10,5,4,3,2021,2020
285,2021-10-06,6,Wednesday,10,5,4,3,2021,2020
286,2021-10-05,5,Tuesday,10,5,4,3,2021,2020
287,2021-10-04,4,Monday,10,5,4,3,2021,2020
288,2021-10-03,3,Sunday,10,5,4,3,2021,2020
289,2021-10-02,2,Saturday,10,5,4,3,2021,2020
290,2021-10-01,1,Friday,10,5,4,3,2021,2020
291,2021-09-30,30,Thursday,9,5,3,3,2021,2020
292,2021-09-29,29,Wednesday,9,5,3,3,2021,2020
293,2021-09-28,28,Tuesday,9,5,3,3,2021,2020
294,2021-09-26,26,Sunday,9,5,3,3,2021,2020
295,2021-09-25,25,Saturday,9,5,3,3,2021,2020
296,2021-09-24,24,Friday,9,5,3,3,2021,2020
297,2021-09-23,23,Thursday,9,5,3,3,2021,2020
298,2021-09-22,22,Wednesday,9,5,3,3,2021,2020
299,2021-09-21,21,Tuesday,9,5,3,3,2021,2020
300,2021-09-20,20,Monday,9,5,3,3,2021,2020
301,2021-09-19,19,Sunday,9,5,3,3,2021,2020
302,2021-09-18,18,Saturday,9,5,3,3,2021,2020
303,2021-09-17,17,Friday,9,5,3,3,2021,2020
304,2021-09-16,16,Thursday,9,5,3,3,2021,2020
305,2021-09-15,15,Wednesday,9,5,3,3,2021,2020
306,2021-09-14,14,Tuesday,9,5,3,3,2021,2020
307,2021-09-12,12,Sunday,9,5,3,3,2021,2020
308,2021-09-11,11,Saturday,9,5,3,3,2021,2020
309,2021-09-10,10,Friday,9,5,3,3,2021,2020
310,2021-09-09,9,Thursday,9,5,3,3,2021,2020
311,2021-09-08,8,Wednesday,9,5,3,3,2021,2020
312,2021-09-07,7,Tuesday,9,5,3,3,2021,2020
313,2021-09-06,6,Monday,9,5,3,3,2021,2020
314,2021-09-05,5,Sunday,9,5,3,3,2021,2020
315,2021-09-04,4,Saturday,9,5,3,3,2021,2020
316,2021-09-02,2,Thursday,9,5,3,3,2021,2020
317,2021-09-01,1,Wednesday,9,5,3,3,2021,2020
318,2021-08-31,31,Tuesday,8,4,3,2,2021,2020
319,2021-08-30,30,Monday,8,4,3,2,2021,2020
320,2021-08-29,29,Sunday,8,4,3,2,2021,2020
321,2021-08-28,28,Saturday,8,4,3,2,2021,2020
322,2021-08-27,27,Friday,8,4,3,2,2021,2020
323,2021-08-25,25,Wednesday,8,4,3,2,2021,2020
324,2021-08-24,24,Tuesday,8,4,3,2,2021,2020
325,2021-08-23,23,Monday,8,4,3,2,2021,2020
326,2021-08-22,22,Sunday,8,4,3,2,2021,2020
327,2021-08-20,20,Friday,8,4,3,2,2021,2020
328,2021-08-19,19,Thursday,8,4,3,2,2021,2020
329,2021-08-18,18,Wednesday,8,4,3,2,2021,2020
330,2021-08-16,16,Monday,8,4,3,2,2021,2020
331,2021-08-15,15,Sunday,8,4,3,2,2021,2020
332,2021-08-14,14,Saturday,8,4,3,2,2021,2020
333,2021-08-13,13,Friday,8,4,3,2,2021,2020
334,2021-08-11,11,Wednesday,8,4,3,2,2021,2020
335,2021-08-10,10,Tuesday,8,4,3,2,2021,2020
336,2021-08-09,9,Monday,8,4,3,2,2021,2020
337,2021-08-08,8,Sunday,8,4,3,2,2021,2020
338,2021-08-07,7,Saturday,8,4,3,2,2021,2020
339,2021-08-06,6,Friday,8,4,3,2,2021,2020
340,2021-08-05,5,Thursday,8,4,3,2,2021,2020
341,2021-08-04,4,Wednesday,8,4,3,2,2021,2020
342,2021-08-03,3,Tuesday,8,4,3,2,2021,2020
343,2021-08-02,2,Monday,8,4,3,2,2021,2020
344,2021-08-01,1,Sunday,8,4,3,2,2021,2020
345,2021-07-31,31,Saturday,7,4,3,2,2021,2020
346,2021-07-30,30,Friday,7,4,3,2,2021,2020
347,2021-07-29,29,Thursday,7,4,3,2,2021,2020
348,2021-07-28,28,Wednesday,7,4,3,2,2021,2020
349,2021-07-27,27,Tuesday,7,4,3,2,2021,2020
350,2021-07-26,26,Monday,7,4,3,2,2021,2020
351,2021-07-25,25,Sunday,7,4,3,2,2021,2020
352,2021-07-24,24,Saturday,7,4,3,2,2021,2020
353,2021-07-23,23,Friday,7,4,3,2,2021,2020
354,2021-07-22,22,Thursday,7,4,3,2,2021,2020
355,2021-07-21,21,Wednesday,7,4,3,2,2021,2020
356,2021-07-20,20,Tuesday,7,4,3,2,2021,2020
357,2021-07-19,19,Monday,7,4,3,2,2021,2020
358,2021-07-18,18,Sunday,7,4,3,2,2021,2020
359,2021-07-17,17,Saturday,7,4,3,2,2021,2020
360,2021-07-16,16,Friday,7,4,3,2,2021,2020
361,2021-07-15,15,Thursday,7,4,3,2,2021,2020
362,2021-07-14,14,Wednesday,7,4,3,2,2021,2020
363,2021-07-13,13,Tuesday,7,4,3,2,2021,2020
364,2021-07-12,12,Monday,7,4,3,2,2021,2020
365,2021-07-11,11,Sunday,7,4,3,2,2021,2020
366,2021-07-10,10,Saturday,7,4,3,2,2021,2020
367,2021-07-09,9,Friday,7,4,3,2,2021,2020
368,2021-07-08,8,Thursday,7,4,3,2,2021,2020
369,2021-07-07,7,Wednesday,7,4,3,2,2021,2020
370,2021-07-06,6,Tuesday,7,4,3,2,2021,2020
371,2021-07-05,5,Monday,7,4,3,2,2021,2020
372,2021-07-04,4,Sunday,7,4,3,2,2021,2020
373,2021-07-03,3,Saturday,7,4,3,2,2021,2020
374,2021-07-02,2,Friday,7,4,3,2,2021,2020
375,2021-07-01,1,Thursday,7,4,3,2,2021,2020
376,2021-06-30,30,Wednesday,6,3,2,2,2021,2020
377,2021-06-29,29,Tuesday,6,3,2,2,2021,2020
378,2021-06-28,28,Monday,6,3,2,2,2021,2020
379,2021-06-27,27,Sunday,6,3,2,2,2021,2020
380,2021-06-26,26,Saturday,6,3,2,2,2021,2020
381,2021-06-25,25,Friday,6,3,2,2,2021,2020
382,2021-06-24,24,Thursday,6,3,2,2,2021,2020
383,2021-06-23,23,Wednesday,6,3,2,2,2021,2020
384,2021-06-22,22,Tuesday,6,3,2,2,2021,2020
385,2021-06-21,21,Monday,6,3,2,2,2021,2020
386,2021-06-20,20,Sunday,6,3,2,2,2021,2020
387,2021-06-19,19,Saturday,6,3,2,2,2021,2020
388,2021-06-18,18,Friday,6,3,2,2,2021,2020
389,2021-06-17,17,Thursday,6,3,2,2,2021,2020
390,2021-06-16,16,Wednesday,6,3,2,2,2021,2020
391,2021-06-15,15,Tuesday,6,3,2,2,2021,2020
392,2021-06-14,14,Monday,6,3,2,2,2021,2020
393,2021-06-13,13,Sunday,6,3,2,2,2021,2020
394,2021-06-12,12,Saturday,6,3,2,2,2021,2020
395,2021-06-11,11,Friday,6,3,2,2,2021,2020
396,2021-06-10,10,Thursday,6,3,2,2,2021,2020
397,2021-06-09,9,Wednesday,6,3,2,2,2021,2020
398,2021-06-08,8,Tuesday,6,3,2,2,2021,2020
399,2021-06-07,7,Monday,6,3,2,2,2021,2020
400,2021-06-06,6,Sunday,6,3,2,2,2021,2020
401,2021-06-04,4,Friday,6,3,2,2,2021,2020
402,2021-06-03,3,Thursday,6,3,2,2,2021,2020
403,2021-06-02,2,Wednesday,6,3,2,2,2021,2020
404,2021-06-01,1,Tuesday,6,3,2,2,2021,2020
405,2021-05-31,31,Monday,5,3,2,2,2021,2020
406,2021-05-30,30,Sunday,5,3,2,2,2021,2020
407,2021-05-29,29,Saturday,5,3,2,2,2021,2020
408,2021-05-28,28,Friday,5,3,2,2,2021,2020
409,2021-05-27,27,Thursday,5,3,2,2,2021,2020
410,2021-05-26,26,Wednesday,5,3,2,2,2021,2020
411,2021-05-23,23,Sunday,5,3,2,2,2021,2020
412,2021-05-22,22,Saturday,5,3,2,2,2021,2020
413,2021-05-21,21,Friday,5,3,2,2,2021,2020
414,2021-05-20,20,Thursday,5,3,2,2,2021,2020
415,2021-05-19,19,Wednesday,5,3,2,2,2021,2020
416,2021-05-18,18,Tuesday,5,3,2,2,2021,2020
417,2021-05-17,17,Monday,5,3,2,2,2021,2020
418,2021-05-16,16,Sunday,5,3,2,2,2021,2020
419,2021-05-15,15,Saturday,5,3,2,2,2021,2020
420,2021-05-14,14,Friday,5,3,2,2,2021,2020
421,2021-05-13,13,Thursday,5,3,2,2,2021,2020
422,2021-05-12,12,Wednesday,5,3,2,2,2021,2020
423,2021-05-11,11,Tuesday,5,3,2,2,2021,2020
424,2021-05-10,10,Monday,5,3,2,2,2021,2020
425,2021-05-09,9,Sunday,5,3,2,2,2021,2020
426,2021-05-08,8,Saturday,5,3,2,2,2021,2020
427,2021-05-07,7,Friday,5,3,2,2,2021,2020
428,2021-05-06,6,Thursday,5,3,2,2,2021,2020
429,2021-05-05,5,Wednesday,5,3,2,2,2021,2020
430,2021-05-04,4,Tuesday,5,3,2,2,2021,2020
431,2021-05-03,3,Monday,5,3,2,2,2021,2020
432,2021-05-02,2,Sunday,5,3,2,2,2021,2020
433,2021-05-01,1,Saturday,5,3,2,2,2021,2020
434,2021-04-30,30,Friday,4,2,2,1,2021,2020
435,2021-04-29,29,Thursday,4,2,2,1,2021,2020
436,2021-04-28,28,Wednesday,4,2,2,1,2021,2020
437,2021-04-27,27,Tuesday,4,2,2,1,2021,2020
438,2021-04-26,26,Monday,4,2,2,1,2021,2020
439,2021-04-25,25,Sunday,4,2,2,1,2021,2020
440,2021-04-24,24,Saturday,4,2,2,1,2021,2020
441,2021-04-23,23,Friday,4,2,2,1,2021,2020
442,2021-04-22,22,Thursday,4,2,2,1,2021,2020
443,2021-04-21,21,Wednesday,4,2,2,1,2021,2020
444,2021-04-20,20,Tuesday,4,2,2,1,2021,2020
445,2021-04-19,19,Monday,4,2,2,1,2021,2020
446,2021-04-18,18,Sunday,4,2,2,1,2021,2020
447,2021-04-17,17,Saturday,4,2,2,1,2021,2020
448,2021-04-16,16,Friday,4,2,2,1,2021,2020
449,2021-04-15,15,Thursday,4,2,2,1,2021,2020
450,2021-04-14,14,Wednesday,4,2,2,1,2021,2020
451,2021-04-13,13,Tuesday,4,2,2,1,2021,2020
452,2021-04-12,12,Monday,4,2,2,1,2021,2020
453,2021-04-11,11,Sunday,4,2,2,1,2021,2020
454,2021-04-10,10,Saturday,4,2,2,1,2021,2020
455,2021-04-08,8,Thursday,4,2,2,1,2021,2020
456,2021-04-07,7,Wednesday,4,2,2,1,2021,2020
457,2021-04-06,6,Tuesday,4,2,2,1,2021,2020
458,2021-04-05,5,Monday,4,2,2,1,2021,2020
459,2021-04-04,4,Sunday,4,2,2,1,2021,2020
460,2021-04-03,3,Saturday,4,2,2,1,2021,2020
461,2021-04-02,2,Friday,4,2,2,1,2021,2020
462,2021-04-01,1,Thursday,4,2,2,1,2021,2020
